name,lat,lon,pass_per_month
Тропарёво,55.645857,37.4725258,1272954
Трубная,55.7691136,37.6195511,1343598
Тульская,55.7086649,37.6228172,2446510
Тургеневская,55.766492,37.637467,1547058
Тушинская,55.8265293,37.4369761,3183645
Тютчевская,55.61905,37.4810854,230106
Улица 1905 года,55.7648611,37.5613413,3211535
Улица Горчакова,55.5416949,37.530718,718116
Улица Скобелевская,55.5481082,37.5546254,1456156
Улица Старокачаловская,55.5689553,37.5766521,0
Университет,55.6926632,37.5332847,2520108
Физтех,55.9216617,37.5465759,965946
Фили,55.7461266,37.5148273,1366446
Филёвский парк,55.7395085,37.4833717,685328
Фонвизинская,55.822916,37.5876371,977756
Фрунзенская,55.7268793,37.57833,2228565
Ховрино,55.8781525,37.4808537,3423488
Хорошёвская,55.7766946,37.5191367,1136278
ЦСКА,55.786561,37.5332007,2490932
Царицыно,55.6214814,37.669238,4268882
Цветной бульвар,55.7708721,37.6179101,1659876
Черкизовская,55.8038807,37.7450321,1405132
Чертановская,55.640455,37.60669,2455955
Чеховская,55.7648327,37.609087,1627243
Чистые пруды,55.7658711,37.639028,1494598
Чкаловская,55.7567019,37.6569978,1496131
Шаболовская,55.7199872,37.6076956,1813414
Шипиловская,55.6210274,37.7436392,1070546
Шоссе Энтузиастов,55.7575686,37.7494868,585426
Щукинская,55.8084608,37.4647008,3204572
Щёлковская,55.8093389,37.7986397,5165430
Электрозаводская,55.7817132,37.7037878,2271634
Юго-Восточная,55.7050362,37.8189764,1109690
Юго-Западная,55.6636469,37.4832189,3794574
Южная,55.622256,37.6092188,1738326
Ясенево,55.6063062,37.533407,2329776
Яхромская,55.8798821,37.5454418,1462584
